<Sentence id='2'>
1	यह	PRP	<fs af='यह,pn,any,sg,3,d,0,0' drel='k1:है' name='यह' chunkId='NP' chunkType='head:NP' posn='10'>
2	फिल्म	NN	<fs af='फिल्म,n,f,sg,3,d,0,0' drel='ccof:और' name='फिल्म' chunkId='NP2' chunkType='head:NP2' posn='20'>
3	और	CC	<fs af='और,avy,,,,,,' drel='nmod:पार्क' name='और' chunkId='CCP' chunkType='head:CCP' posn='30'>
4	टीवी	NNC	<fs af='टीवी,n,m,sg,3,d,0,0' drel='pof__cn:सीरियल' name='टीवी' chunkType='child:NP3' posn='40'>
5	सीरियल	NN	<fs af='सीरियल,n,m,sg,3,d,0,0' drel='ccof:और' name='सीरियल' chunkId='NP3' chunkType='head:NP3' posn='50'>
6	बेस	JJ	<fs af='बेस,adj,any,any,,d,,' drel='nmod__adj:पार्क' name='बेस' chunkType='child:NP4' posn='60'>
7	थीम	NNC	<fs af='थीम,n,f,sg,3,d,0,0' drel='pof__cn:पार्क' name='थीम' chunkType='child:NP4' posn='70'>
8	पार्क	NN	<fs af='पार्क,n,m,sg,3,d,0,0' drel='k1s:है' name='पार्क' chunkId='NP4' chunkType='head:NP4' posn='80'>
9	है	VM	<fs af='है,v,any,sg,3,,है,hE' name='है' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='90'>
10	।	SYM	<fs af='।,punc,,,,,,' drel='rsym:है' name='।' chunkId='BLK' chunkType='head:BLK' posn='100'>
</Sentence>

<Sentence id='3'>
1	इस	DEM	<fs af='यह,pn,any,sg,3,o,,' drel='nmod__adj:पार्क' name='इस' chunkType='child:NP' posn='10'>
2	थीम	NNC	<fs af='थीम,n,f,sg,3,d,0,0' drel='pof__cn:पार्क' name='थीम' chunkType='child:NP' posn='20'>
3	पार्क	NN	<fs af='पार्क,n,m,sg,3,o,0_का,0' drel='r6:बात' vpos='vib_4' name='पार्क' chunkId='NP' chunkType='head:NP' posn='30'>
4	की	PSP	<fs af='का,psp,f,sg,,d,,' drel='lwg__psp:पार्क' name='की' chunkType='child:NP' posn='40'>
5	सबसे	INTF	<fs af='सबसे,avy,,,,,,' drel='jjmod__intf:मजेदार' name='सबसे' chunkType='child:NP2' posn='50'>
6	मजेदार	JJ	<fs af='मजेदार,adj,any,any,,d,,' drel='nmod__adj:बात' name='मजेदार' chunkType='child:NP2' posn='60'>
7	बात	NN	<fs af='बात,n,f,sg,3,d,0,0' drel='k1:है' name='बात' chunkId='NP2' chunkType='head:NP2' posn='70'>
8	है	VM	<fs af='है,v,any,sg,3,,है,hE' name='है' chunkId='VGF' chunkType='head:VGF' stype='declarative' voicetype='active' posn='80'>
9	कि	CC	<fs af='कि,avy,,,,,,' drel='rs:बात' name='कि' chunkId='CCP' chunkType='head:CCP' posn='90'>
10	यहाँ	PRP	<fs af='यहाँ,pn,,,,d,,' drel='k7p:ले' name='यहाँ' chunkId='NP3' chunkType='head:NP3' posn='100'>
11	आप	PRP	<fs af='आप,pn,any,sg,2h,d,0,0' drel='k1:ले' name='आप' chunkId='NP4' chunkType='head:NP4' posn='110'>
